Plan;Medicamento;Presentacion;Laboratorio;Familia;Principio_Activo;Receta;Porcentaje_Cobertura;Es_Cronica;Enfermedad;Requiere_Empadronamiento
SC50, SC100, SC150;LAFEVIR;3% sol.oft.x 5 ml;LAFEDAR;ANTIVIRAL;ACICLOVIR;VENTA BAJO RECETA;40;NO;;NO
SC50, SC100, SC150;LAFEVIR;3% sol.oft.x 10 ml;LAFEDAR;ANTIVIRAL;ACICLOVIR;VENTA BAJO RECETA;40;NO;;NO
SC50, SC100, SC150;NEOTIGASON;10 mg caps.x 30;IVAX ARGENTINA S.A.;ANTIPSORIÁSICO;ACITRETINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;NEOTIGASON;25 mg caps.x 30;IVAX ARGENTINA S.A.;ANTIPSORIÁSICO;ACITRETINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;SILIDRAL 70;70 mg comp.x 4;ARISTON S.A.I.C.F.;ANTIOSTEOPORÓTICO;ALENDRONATO;VENTA BAJO RECETA;40;NO;;NO
SC50, SC100, SC150;BERLEX;70 mg comp.x 4;DUNCAN  S.C.A.;ANTIOSTEOPORÓTICO;ALENDRONATO;VENTA BAJO RECETA;40;NO;;NO
SC50, SC100, SC150;FINDECLIN;70 mg comp.x 4;FINADIET S.A.C.I.F..I.;ANTIOSTEOPORÓTICO;ALENDRONATO;VENTA BAJO RECETA;40;NO;;NO
SC50, SC100, SC150;MARVIL;70 mg comp.x 4;GADOR S.A.;ANTIOSTEOPORÓTICO;ALENDRONATO;VENTA BAJO RECETA;40;NO;;NO
SC50, SC100, SC150;ALENDRONATO;70 mg comp.x 4;LEPETIT PHARMA SA;ANTIOSTEOPORÓTICO;ALENDRONATO;VENTA BAJO RECETA;40;NO;;NO
SC50, SC100, SC150;OSTEOFENE;70 mg comp.x 4;RONTAG S.A.;ANTIOSTEOPORÓTICO;ALENDRONATO;VENTA BAJO RECETA;40;NO;;NO
SC50, SC100, SC150;BREK;70 mg comp.x 4;TRB-PHARMA;ANTIOSTEOPORÓTICO;ALENDRONATO;VENTA BAJO RECETA;40;NO;;NO
SC50, SC100, SC150;TILIOS;70 mg comp.x 4;MICROSULES ARGENTINA S.A.;ANTIOSTEOPORÓTICO;ALENDRONATO;VENTA BAJO RECETA;40;NO;;NO
SC50, SC100, SC150;REGENESIS;70 mg comp.x 4;PHOENIX-ELEA;ANTIOSTEOPORÓTICO;ALENDRONATO;VENTA BAJO RECETA;40;NO;;NO
SC50, SC100, SC150;ARENDAL;70 mg comp.x 4;IVAX ARGENTINA S.A.;ANTIOSTEOPORÓTICO;ALENDRONATO;VENTA BAJO RECETA;40;NO;;NO
SC50, SC100, SC150;LABSABONE;70 mg comp.x 4;LABSA;ANTIOSTEOPORÓTICO;ALENDRONATO;VENTA BAJO RECETA;40;NO;;NO
SC50, SC100, SC150;ACTIMAX;70 mg comp.x 4;SIEGFRIED S.A.;ANTIOSTEOPORÓTICO;ALENDRONATO;VENTA BAJO RECETA;40;NO;;NO
SC50, SC100, SC150;ALENATO;70 mg comp.x 4;SIEGFRIED S.A.;ANTIOSTEOPORÓTICO;ALENDRONATO;VENTA BAJO RECETA;40;NO;;NO
SC50, SC100, SC150;FINDECLIN;70 mg comp.x 8;FINADIET S.A.C.I.F..I.;ANTIOSTEOPORÓTICO;ALENDRONATO;VENTA BAJO RECETA;40;NO;;NO
SC50, SC100, SC150;TILIOS;70 mg comp.x 8;MICROSULES ARGENTINA S.A.;ANTIOSTEOPORÓTICO;ALENDRONATO;VENTA BAJO RECETA;40;NO;;NO
SC50, SC100, SC150;ACTIMAX;70 mg comp.x 8;SIEGFRIED S.A.;ANTIOSTEOPORÓTICO;ALENDRONATO;VENTA BAJO RECETA;40;NO;;NO
SC50, SC100, SC150;ALENATO;70 mg comp.x 8;SIEGFRIED S.A.;ANTIOSTEOPORÓTICO;ALENDRONATO;VENTA BAJO RECETA;40;NO;;NO
SC50, SC100, SC150;LENDRONAL;comp.x 4;LAFEDAR;ANTIOSTEOPORÓTICO;ALENDRONATO;VENTA BAJO RECETA;40;NO;;NO
SC50, SC100, SC150;TENSIUM;0.5 mg comp.ran.x 30;BALIARDA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;TENSIUM;0.5 mg comp.ran.x 60;BALIARDA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRIM;0.5 mg comp.rec.x 30;BIOTECHNO PHARMA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRIM;0.5 mg comp.rec.x 60;BIOTECHNO PHARMA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;TRANQUINAL;0.5 mg comp.subl.x 30;BAGO S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;TENSIUM SL;0.5 mg comp.subl.x 30;BALIARDA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;BESTROL;0.5 mg comp.x 20;CETUS S.R.L.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;PRINOX 0.5 MG;0.5 mg comp.x 30;EUROFARMA ARGENTINA S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;ALPRAZOL;0.5 mg comp.x 30;CASASCO S.A.I.C.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;KRAMA;0.5 mg comp.x 30;DUNCAN  S.C.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;PTA;0.5 mg comp.x 30;SIDUS S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC50, SC100, SC150;BECEDE 0.5;0.5 mg comp.x 30;VANNIER S.A.;ANSIOLÍTICO;ALPRAZOLAM;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
