Cód. Producto AFB;Producto;Presentación;Cód. Tamaño;Tamaño;Cod. Lab. AFB;Laboratorio;Cod. Fam. AFB;Familia AFB;Cód. Ppio. AFB;Principio Activo;Cód. Barras;Troquel;Cód. Tipo Rct. AFB;Tipo Receta
46952;LAFEVIR;3% sol.oft.x 5 ml;C;CHICO;397;LAFEDAR;00232;ANTIVIRAL;00368;ACICLOVIR;7798021291943;9946952;R;VENTA BAJO RECETA
46953;LAFEVIR;3% sol.oft.x 10 ml;G;GRANDE;397;LAFEDAR;00232;ANTIVIRAL;00368;ACICLOVIR;7798021291950;9946953;R;VENTA BAJO RECETA
27610;NEOTIGASON;10 mg caps.x 30;C;CHICO;518;IVAX ARGENTINA S.A.;00322;ANTIPSORIÁSICO;00806;ACITRETINA;7795326010576;3105324;A;VENTA BAJO RECETA ARCHIVADA
26974;NEOTIGASON;25 mg caps.x 30;C;CHICO;518;IVAX ARGENTINA S.A.;00322;ANTIPSORIÁSICO;00806;ACITRETINA;7795326191459;3105404;A;VENTA BAJO RECETA ARCHIVADA
30358;SILIDRAL 70;70 mg comp.x 4;C;CHICO;013;ARISTON S.A.I.C.F.;00068;ANTIOSTEOPORÓTICO;00020;ALENDRONATO;7795366452879;5002611;R;VENTA BAJO RECETA
35592;BERLEX;70 mg comp.x 4;C;CHICO;074;DUNCAN  S.C.A.;00068;ANTIOSTEOPORÓTICO;00020;ALENDRONATO;7795361470724;5326394;R;VENTA BAJO RECETA
33612;FINDECLIN;70 mg comp.x 4;C;CHICO;095;FINADIET S.A.C.I.F..I.;00068;ANTIOSTEOPORÓTICO;00020;ALENDRONATO;7791171101100;5203271;R;VENTA BAJO RECETA
28144;MARVIL;70 mg comp.x 4;C;CHICO;103;GADOR S.A.;00068;ANTIOSTEOPORÓTICO;00020;ALENDRONATO;7792183489439;4871092;R;VENTA BAJO RECETA
44082;ALENDRONATO;70 mg comp.x 4;C;CHICO;140;LEPETIT PHARMA SA;00068;ANTIOSTEOPORÓTICO;00020;ALENDRONATO;7798011652181;5785131;R;VENTA BAJO RECETA
32726;OSTEOFENE;70 mg comp.x 4;C;CHICO;200;RONTAG S.A.;00068;ANTIOSTEOPORÓTICO;00020;ALENDRONATO;7795351922448;5137411;R;VENTA BAJO RECETA
28769;BREK;70 mg comp.x 4;C;CHICO;226;TRB-PHARMA;00068;ANTIOSTEOPORÓTICO;00020;ALENDRONATO;7795371458491;4934796;R;VENTA BAJO RECETA
39550;TILIOS;70 mg comp.x 4;C;CHICO;235;MICROSULES ARGENTINA S.A.;00068;ANTIOSTEOPORÓTICO;00020;ALENDRONATO;7791829009383;5128611;R;VENTA BAJO RECETA
27835;REGENESIS;70 mg comp.x 4;C;CHICO;498;PHOENIX-ELEA;00068;ANTIOSTEOPORÓTICO;00020;ALENDRONATO;7796285050078;4857071;R;VENTA BAJO RECETA
28381;ARENDAL;70 mg comp.x 4;C;CHICO;518;IVAX ARGENTINA S.A.;00068;ANTIOSTEOPORÓTICO;00020;ALENDRONATO;7795326000164;4895771;R;VENTA BAJO RECETA
50887;LABSABONE;70 mg comp.x 4;C;CHICO;635;LABSA;00068;ANTIOSTEOPORÓTICO;00020;ALENDRONATO;7798141211203;260003;R;VENTA BAJO RECETA
32975;ACTIMAX;70 mg comp.x 4;C;CHICO;903;SIEGFRIED S.A.;00068;ANTIOSTEOPORÓTICO;00020;ALENDRONATO;7792069045018;5124201;R;VENTA BAJO RECETA
31894;ALENATO;70 mg comp.x 4;C;CHICO;903;SIEGFRIED S.A.;00068;ANTIOSTEOPORÓTICO;00020;ALENDRONATO;7798129416392;4974973;R;VENTA BAJO RECETA
33613;FINDECLIN;70 mg comp.x 8;G;GRANDE;095;FINADIET S.A.C.I.F..I.;00068;ANTIOSTEOPORÓTICO;00020;ALENDRONATO;7791171101117;5203272;R;VENTA BAJO RECETA
33616;TILIOS;70 mg comp.x 8;G;GRANDE;235;MICROSULES ARGENTINA S.A.;00068;ANTIOSTEOPORÓTICO;00020;ALENDRONATO;7791829009390;5128612;R;VENTA BAJO RECETA
